_id,CURRENT BUILDING EVAL SCORE,FENCING,BUILDING CLEANLINESS,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,CLEANING LOG,PEST CONTROL LOG,MAINTENANCE LOG,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,INT. HALLWAY - WALLS / CEILING,LATITUDE,LONGITUDE
837,97,3,3,3,3,3,3,3,3,3,2,43.668341436,-79.402632539
2277,76,2,2,2,3,3,3,3,3,3,2,43.6683620869,-79.3786856506
2158,81,2,3,3,3,3,3,3,3,3,3,43.668382815,-79.380659943
706,64,3,1,3,3,0,0,0,0,0,1,43.668393896,-79.4086851275
1154,76,3,1,2,3,3,3,2,3,3,2,43.668417027,-79.312246964
3051,88,2,3,3,3,3,3,3,3,3,2,43.668417741,-79.370443646
18,76,1,2,2,3,3,1,1,3,1,2,43.6684598397,-79.3083945127
2160,87,3,3,3,3,3,3,3,3,3,2,43.668460296,-79.379959886
3157,92,3,3,2,3,3,3,3,3,3,3,43.668468282,-79.390913332
705,81,2,2,2,3,1,3,3,3,3,2,43.6684734257,-79.4081015431
2129,94,3,3,3,3,3,3,3,3,3,3,43.668524449,-79.292899307
2814,91,3,3,2,3,3,3,3,3,3,3,43.668558227,-79.374829965
2137,96,3,3,3,3,3,3,3,3,3,3,43.668593704,-79.378214229
773,90,3,3,3,3,3,3,3,3,3,3,43.66871624,-79.388250573
2157,77,3,3,2,1,1,1,1,1,1,2,43.668725238,-79.381345576
1863,85,1,2,2,3,1,3,3,1,3,1,43.668753427,-79.392394273
2941,74,3,3,3,3,0,0,0,0,0,2,43.668763043,-79.406936141
2011,83,2,3,3,3,3,3,3,3,3,2,43.66877501,-79.412965543
1541,94,3,3,3,3,3,3,3,3,3,3,43.668807552,-79.375949676
1856,85,2,3,2,2,3,3,3,3,3,1,43.668827347,-79.373701881
2907,77,2,1,3,2,3,3,3,2,2,1,43.668834904,-79.404273749
1542,95,2,3,3,1,3,3,3,3,3,2,43.668855304,-79.375727382
2621,81,3,3,3,2,2,2,2,2,2,1,43.668858212,-79.480168532
1491,65,2,1,2,3,1,1,1,1,1,1,43.668927772,-79.315350573
2159,79,2,3,2,3,3,3,3,3,3,2,43.668954869,-79.380480475
2161,89,3,3,2,3,3,3,3,3,3,2,43.668991923,-79.379987892
2143,100,3,3,3,3,3,3,3,3,3,3,43.669000001,-79.401866897
2162,89,3,3,2,3,1,3,3,3,3,2,43.669040993,-79.37729738
2815,97,1,3,3,3,3,3,3,3,3,3,43.669056443,-79.375027211
3050,95,3,3,3,3,3,3,3,3,3,2,43.669069472,-79.37171783
2942,85,3,3,3,3,1,3,3,3,3,3,43.669071979,-79.406941997
3078,81,1,3,2,3,3,3,3,3,3,1,43.669080493,-79.399842813
2130,82,2,2,2,3,1,2,3,3,3,2,43.669096797,-79.291125075
2813,98,3,3,3,3,3,3,3,3,3,3,43.669118585,-79.375955307
2940,83,3,3,2,3,3,3,3,3,3,1,43.669133539,-79.405620062
2163,95,3,3,3,3,3,3,3,3,3,3,43.669152717,-79.376810925
756,98,3,3,3,3,3,3,3,3,3,3,43.669168966,-79.486303336
1004,89,3,2,1,3,3,3,1,3,1,2,43.669187774,-79.297155486
772,75,3,3,2,3,3,0,3,3,0,3,43.669198907,-79.384815824
1690,81,3,2,3,3,3,3,3,3,3,2,43.669233242,-79.445930587
330,79,3,2,3,2,2,3,3,3,3,1,43.66925972,-79.457795659
3079,80,3,3,3,3,3,3,3,3,3,1,43.669299729,-79.400091636
2943,84,2,2,3,3,3,3,3,3,3,2,43.669364101,-79.407141875
1857,94,2,2,2,1,3,3,3,3,3,2,43.669381383,-79.37437191
3518,88,3,3,3,3,2,3,3,0,3,3,43.6694252933,-79.3057875382
2908,92,1,3,3,3,3,3,3,3,3,2,43.669438916,-79.405207226
2,85,3,3,3,3,3,3,3,3,3,2,43.669443063,-79.398606867
3080,87,3,3,2,3,3,3,3,3,3,2,43.669453576,-79.400154652
242,81,2,2,2,1,3,3,3,3,3,2,43.669481117,-79.3732918084
1270,93,1,3,3,3,1,3,3,3,3,1,43.669541987,-79.333190936
2909,78,2,1,1,3,2,1,1,2,1,1,43.669553321,-79.40462991
3081,83,1,3,2,3,3,3,3,3,3,2,43.669584779,-79.400213595
322,99,3,3,3,3,3,3,3,3,3,3,43.6696118145,-79.3706631071
491,97,3,3,2,3,3,3,3,3,3,3,43.66973086,-79.318265969
1043,86,2,3,2,3,1,3,3,3,3,2,43.669735327,-79.40029681
261,46,3,0,0,3,0,0,0,0,2,0,43.669760121,-79.458975993
282,97,1,3,3,3,3,3,3,3,3,2,43.669803142,-79.340707504
490,86,2,2,3,2,3,3,3,3,3,2,43.66980753,-79.31766252
838,77,2,1,2,3,3,3,3,3,3,2,43.669877229,-79.403530164
1,83,3,3,1,3,1,3,3,3,3,3,43.66989011,-79.396554235
839,85,3,3,3,3,0,0,0,0,3,2,43.669993164,-79.40358451
1756,86,3,3,3,3,3,2,3,1,3,2,43.670003806,-79.397710763
2845,82,1,2,2,3,3,3,3,3,3,2,43.670031447,-79.375487343
2138,93,3,3,2,3,3,3,3,3,3,3,43.670049367,-79.378944292
492,89,2,2,3,3,1,3,3,3,3,2,43.670050998,-79.317818326
2910,87,1,3,3,3,3,3,3,3,3,1,43.670080063,-79.405495723
243,76,3,3,3,1,1,3,3,3,3,1,43.6701517144,-79.3735812893
3082,94,2,3,3,3,3,3,3,3,3,2,43.670260332,-79.40054649
1562,80,3,2,1,3,3,3,2,3,3,2,43.670262063,-79.312623636
1096,81,3,2,2,3,3,3,3,3,3,2,43.6703285166,-79.302100905
3549,91,3,3,3,3,3,3,3,3,3,2,43.670488769,-79.371608932
1563,84,3,2,3,3,3,3,3,3,3,3,43.670497618,-79.313073089
1012,60,1,1,1,2,1,2,1,1,1,1,43.670502765,-79.296702565
1858,78,1,1,2,1,1,3,3,3,3,1,43.670607632,-79.374814757
1155,78,2,2,2,3,3,3,3,3,3,2,43.6707253488,-79.3116255888
3086,63,3,1,0,3,0,0,0,0,0,1,43.670727396,-79.401650658
323,82,3,2,2,3,1,3,3,3,3,3,43.670774446,-79.370931083
559,88,1,3,1,3,3,3,3,3,3,2,43.670812011,-79.453749486
1859,78,1,2,2,1,1,3,3,3,3,1,43.6708548485,-79.3850117463
2124,86,2,2,3,3,3,3,3,3,3,2,43.6708658247,-79.3728064407
3083,90,3,3,3,3,3,3,3,3,3,3,43.6708811,-79.400783867
1156,86,1,3,2,3,3,3,2,1,3,2,43.670933537,-79.311486445
244,77,1,2,3,1,3,3,3,3,3,1,43.6709382453,-79.3739456506
2001,74,2,1,2,3,1,1,1,1,1,2,43.67108049,-79.436975378
2125,94,3,3,2,3,3,3,3,3,3,2,43.671082603,-79.371532819
22,78,1,2,2,3,2,2,1,1,1,2,43.671090079,-79.293872452
1005,77,3,3,3,3,0,0,0,0,0,3,43.671108011,-79.297992324
1157,82,1,2,2,3,3,3,3,3,3,2,43.671131313,-79.31141218
3084,80,2,3,3,3,3,3,3,3,3,3,43.671145731,-79.400916019
23,87,1,3,3,3,1,1,1,1,1,3,43.67114612,-79.293656455
2692,100,3,3,3,3,3,3,3,3,3,3,43.671146181,-79.376964829
3087,91,2,3,3,3,3,3,3,3,3,3,43.671224238,-79.401812426
24,87,1,2,2,3,3,3,3,3,3,3,43.671244051,-79.293265031
