_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
885,GO-20221249858,2022,2022-07-01,0,2022,2022-07-01,1525,D13,Streets/Roadways/Highway,NO,NO,"Indigenous, East/Southeast Asian",None,None,Jewish,None,None,Yes,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),No
886,GO-20221271322,2022,2022-07-01,1542,2022,2022-07-05,1230,D55,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,None,Indian,None,None,Gay,None,Yes,Harassing Communications,066,Danforth (66),066,Danforth (66),No
887,GO-20221259546,2022,2022-07-02,2300,2022,2022-07-02,2357,D51,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),No
888,GO-20221334948,2022,2022-07-09,100,2022,2022-07-13,1255,D32,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,Yes,Mischief Under $5000,151,Yonge-Doris (151),051,Willowdale East (51),No
889,GO-20221321249,2022,2022-07-10,600,2022,2022-07-11,1142,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,Yes,Mischief Under $5000,152,East Willowdale (152),051,Willowdale East (51),No
890,GO-20221315604,2022,2022-07-10,1526,2022,2022-07-10,1531,D51,Streets/Roadways/Highway,NO,NO,None,None,None,None,Gay,None,No,Assault With a Weapon,073,Moss Park (73),073,Moss Park (73),No
891,GO-20221313535,2022,2022-07-10,1103,2022,2022-07-10,1103,D32,"Open Area, Park or Parking Lot",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,152,East Willowdale (152),051,Willowdale East (51),No
892,GO-20221338598,2022,2022-07-13,615,2022,2022-07-13,1824,D52,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),Yes
893,GO-20221342512,2022,2022-07-14,956,2022,2022-07-14,1030,D32,NA,NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,151,Yonge-Doris (151),051,Willowdale East (51),No
894,GO-20221350373,2022,2022-07-15,1100,2022,2022-07-15,1121,D41,Public Transportation,NO,NO,Black,None,None,Jewish,None,None,Yes,Mischief Under $5000,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),No
895,GO-20221382749,2022,2022-07-19,2050,2022,2022-07-19,2055,D41,NA,NO,NO,Black,None,None,None,None,None,No,Assault,157,Bendale South (157),127,Bendale (127),Yes
896,GO-20221379473,2022,2022-07-19,1303,2022,2022-07-19,1550,D53,Other Commercial / Corporate Places ,NO,NO,None,None,Spanish,None,None,None,No,Assault With a Weapon,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),No
897,GO-20221398643,2022,2022-07-21,2336,2022,2022-07-21,2336,D14,"Open Area, Park or Parking Lot",NO,NO,None,None,None,None,Gay,None,No,Assault,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),No
898,GO-20221444222,2022,2022-07-28,858,2022,2022-07-28,858,D32,Streets/Roadways/Highway,NO,NO,"Black, East/Southeast Asian",None,None,Jewish,None,None,Yes,Mischief Under $5000,151,Yonge-Doris (151),051,Willowdale East (51),No
899,GO-20221459051,2022,2022-07-30,829,2022,2022-07-30,829,D33,Streets/Roadways/Highway,NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),No
900,GO-20221458643,2022,2022-07-30,545,2022,2022-07-30,600,D14,Streets/Roadways/Highway,NO,NO,None,Other Ethnicity not mentioned,None,None,None,None,No,Assault,081,Trinity-Bellwoods (81),081,Trinity-Bellwoods (81),No
901,GO-20221537550,2022,2022-08-10,1300,2022,2022-08-10,1312,D31,NA,NO,NO,None,None,None,None,Gay,None,No,Uttering Threats - Bodily Harm,027,York University Heights (27),027,York University Heights (27),Yes
